time,vx_live,vy_live,vz_live,vx_res,vy_res,vz_res
3.000,-0.000,-27.243,48.978,0.091,-27.003,49.110
4.000,0.091,-36.272,68.059,-0.671,-36.557,67.902
5.000,-0.671,-45.274,86.443,-0.598,-45.510,86.319
7.000,-0.598,-53.697,104.849,3.124,-55.964,103.611
